model,device_name,device_type,attack_family,attack_type,raw_detected_windows,confirmed_windows,total_windows,event_detected,confirmation_delay_windows,raw_detection_rate,confirmed_detection_rate
Drift Simulation,edge1,edge-infrastructure,ddos,syn-flood-port-80,9,8,9,True,2.0,1.0,0.8888888888888888
Drift Simulation,edge1,edge-infrastructure,ddos,push-ack-flood-port-80,9,8,9,True,2.0,1.0,0.8888888888888888
Drift Simulation,edge1,edge-infrastructure,ddos,rst-fin-flood-port-80,9,8,9,True,2.0,1.0,0.8888888888888888
Drift Simulation,switch,network-device,ddos,rst-fin-flood-port-80,9,8,9,True,2.0,1.0,0.8888888888888888
Drift Simulation,switch,network-device,ddos,udp-flood-port-80,9,8,9,True,2.0,1.0,0.8888888888888888
Drift Simulation,wisenet-camera,camera,ddos,rst-fin-flood-port-80,9,8,9,True,2.0,1.0,0.8888888888888888
Drift Simulation,yi-camera,camera,ddos,udp-flood-port-80,9,8,9,True,2.0,1.0,0.8888888888888888
Drift Simulation,ap,network-device,ddos,udp-flood-port-80,9,8,9,True,2.0,1.0,0.8888888888888888
Drift Simulation,edge1,edge-infrastructure,ddos,udp-flood-port-80,9,8,9,True,2.0,1.0,0.8888888888888888
Drift Simulation,water-sensor,sensor,ddos,rst-fin-flood-port-1883,9,8,9,True,2.0,1.0,0.8888888888888888
Drift Simulation,steam-sensor,sensor,ddos,rst-fin-flood-port-1883,9,8,9,True,2.0,1.0,0.8888888888888888
Drift Simulation,vibration-sensor,sensor,ddos,udp-flood-port-1883,9,8,9,True,2.0,1.0,0.8888888888888888
Drift Simulation,weather-sensor,sensor,ddos,rst-fin-flood-port-1883,9,8,9,True,2.0,1.0,0.8888888888888888
Drift Simulation,ap,network-device,ddos,rst-fin-flood-port-80,9,8,9,True,2.0,1.0,0.8888888888888888
Drift Simulation,myq-camera,camera,ddos,rst-fin-flood-port-80,9,8,9,True,2.0,1.0,0.8888888888888888
Drift Simulation,edge1,edge-infrastructure,ddos,icmp-flood,9,8,9,True,2.0,1.0,0.8888888888888888
Drift Simulation,water-sensor,sensor,ddos,udp-flood-port-1883,9,8,9,True,2.0,1.0,0.8888888888888888
Drift Simulation,wisenet-camera,camera,ddos,udp-flood-port-80,9,8,9,True,2.0,1.0,0.8888888888888888
Drift Simulation,myq-camera,camera,ddos,udp-flood-port-80,9,8,9,True,2.0,1.0,0.8888888888888888
Drift Simulation,vibration-sensor,sensor,ddos,rst-fin-flood-port-1883,9,8,9,True,2.0,1.0,0.8888888888888888
Drift Simulation,ap,network-device,ddos,synonymousip-flood-port-80,9,8,9,True,2.0,1.0,0.8888888888888888
Drift Simulation,switch,network-device,ddos,synonymousip-flood-port-80,9,8,9,True,2.0,1.0,0.8888888888888888
Drift Simulation,ultrasonic-sensor,sensor,ddos,rst-fin-flood-port-1883,9,8,9,True,2.0,1.0,0.8888888888888888
Drift Simulation,yi-camera,camera,ddos,rst-fin-flood-port-80,9,8,9,True,2.0,1.0,0.8888888888888888
Drift Simulation,soil-sensor,sensor,ddos,rst-fin-flood-port-1883,9,8,9,True,2.0,1.0,0.8888888888888888
Drift Simulation,sound-sensor,sensor,ddos,rst-fin-flood-port-1883,9,8,9,True,2.0,1.0,0.8888888888888888
Drift Simulation,ultrasonic-sensor,sensor,ddos,udp-flood-port-1883,9,8,9,True,2.0,1.0,0.8888888888888888
Drift Simulation,steam-sensor,sensor,ddos,udp-flood-port-1883,9,8,9,True,2.0,1.0,0.8888888888888888
Drift Simulation,weather-sensor,sensor,ddos,udp-flood-port-1883,9,8,9,True,2.0,1.0,0.8888888888888888
Drift Simulation,sound-sensor,sensor,ddos,udp-flood-port-1883,9,8,9,True,2.0,1.0,0.8888888888888888
