model,attack_family,attack_type,raw_detected_windows,confirmed_windows,total_windows,detected_events,total_events,raw_detection_rate,detection_rate,event_detection_rate
Drift Simulation,ddos,syn-flood-port-80,54,48,54,6,6,1.0,0.8888888888888888,1.0
Drift Simulation,ddos,push-ack-flood-port-80,54,48,54,6,6,1.0,0.8888888888888888,1.0
Drift Simulation,ddos,rst-fin-flood-port-80,54,48,54,6,6,1.0,0.8888888888888888,1.0
Drift Simulation,ddos,udp-flood-port-80,54,48,54,6,6,1.0,0.8888888888888888,1.0
Drift Simulation,ddos,rst-fin-flood-port-1883,63,56,63,7,7,1.0,0.8888888888888888,1.0
Drift Simulation,ddos,udp-flood-port-1883,63,56,63,7,7,1.0,0.8888888888888888,1.0
Drift Simulation,ddos,icmp-flood,126,112,126,14,14,1.0,0.8888888888888888,1.0
Drift Simulation,ddos,synonymousip-flood-port-80,56,48,63,6,7,0.8888888888888888,0.7619047619047619,0.8571428571428571
Drift Simulation,ddos,tcp-flood-port-80,54,48,54,6,6,1.0,0.8888888888888888,1.0
Drift Simulation,ddos,push-ack-flood-port-1883,63,56,63,7,7,1.0,0.8888888888888888,1.0
Drift Simulation,ddos,synonymousip-flood-port-1883,63,56,63,7,7,1.0,0.8888888888888888,1.0
Drift Simulation,ddos,syn-flood-port-1883,63,56,63,7,7,1.0,0.8888888888888888,1.0
Drift Simulation,ddos,tcp-flood-port-1883,63,56,63,7,7,1.0,0.8888888888888888,1.0
Drift Simulation,dos,udp-flood,126,112,126,14,14,1.0,0.8888888888888888,1.0
Drift Simulation,dos,syn-flood-port-80,47,41,48,7,7,0.9791666666666666,0.8541666666666666,1.0
Drift Simulation,mitm,ip-spoofing,112,99,112,13,13,1.0,0.8839285714285714,1.0
Drift Simulation,dos,synonymousip-flood-port-80,54,48,54,6,6,1.0,0.8888888888888888,1.0
Drift Simulation,dos,push-ack-flood-port-80,54,48,54,6,6,1.0,0.8888888888888888,1.0
Drift Simulation,dos,synonymousip-flood-port-1883,63,56,63,7,7,1.0,0.8888888888888888,1.0
Drift Simulation,dos,icmp-flood,126,112,126,14,14,1.0,0.8888888888888888,1.0
Drift Simulation,dos,rst-fin-flood-port-1883,90,80,90,10,10,1.0,0.8888888888888888,1.0
Drift Simulation,dos,rst-fin-flood-port-80,36,32,36,4,4,1.0,0.8888888888888888,1.0
Drift Simulation,dos,syn-flood-port-22,4,3,4,1,1,1.0,0.75,1.0
Drift Simulation,dos,ack-frag-flood-port-80,54,48,54,6,6,1.0,0.8888888888888888,1.0
Drift Simulation,dos,http-flood-port-80,36,32,36,4,4,1.0,0.8888888888888888,1.0
Drift Simulation,dos,tcp-flood-port-80,48,41,48,7,7,1.0,0.8541666666666666,1.0
Drift Simulation,dos,tcp-flood-port-1883,63,56,63,7,7,1.0,0.8888888888888888,1.0
Drift Simulation,dos,syn-flood-port-1883,63,56,63,7,7,1.0,0.8888888888888888,1.0
Drift Simulation,dos,push-ack-flood-port-1883,63,56,63,7,7,1.0,0.8888888888888888,1.0
Drift Simulation,dos,syn-flood-port-443,8,6,8,2,2,1.0,0.75,1.0
Drift Simulation,dos,tcp-flood-port-443,8,6,8,2,2,1.0,0.75,1.0
Drift Simulation,ddos,http-flood-port-80,63,56,63,7,7,1.0,0.8888888888888888,1.0
Drift Simulation,dos,syn-flood-port-557,4,3,4,1,1,1.0,0.75,1.0
Drift Simulation,dos,tcp-flood-port-554,12,9,12,3,3,1.0,0.75,1.0
Drift Simulation,dos,syn-flood-port-554,8,6,8,2,2,1.0,0.75,1.0
Drift Simulation,dos,tcp-flood-port-23,4,3,4,1,1,1.0,0.75,1.0
Drift Simulation,dos,tcp-flood-port-22,4,3,4,1,1,1.0,0.75,1.0
Drift Simulation,dos,syn-flood-port-23,4,3,4,1,1,1.0,0.75,1.0
Drift Simulation,ddos,ack-frag-flood-port-80,63,56,63,7,7,1.0,0.8888888888888888,1.0
Drift Simulation,dos,icmp-frag-flood,117,104,117,13,13,1.0,0.8888888888888888,1.0
Drift Simulation,dos,ack-frag-flood-port-1883,63,56,63,7,7,1.0,0.8888888888888888,1.0
Drift Simulation,dos,udp-frag-flood,126,112,126,14,14,1.0,0.8888888888888888,1.0
Drift Simulation,ddos,icmp-frag-flood,117,104,117,13,13,1.0,0.8888888888888888,1.0
Drift Simulation,ddos,udp-frag-flood,117,104,117,13,13,1.0,0.8888888888888888,1.0
Drift Simulation,ddos,ack-frag-flood-port-1883,63,56,63,7,7,1.0,0.8888888888888888,1.0
Drift Simulation,web,sql-injection-blind,158,157,158,1,1,1.0,0.9936708860759493,1.0
