model,device_name,device_type,raw_false_flags,confirmed_false_flags,total_windows,raw_fpr,fpr
Baseline,accelerometer-sensor,sensor,0,0,72,0.0,0.0
Baseline,blurams-camera,camera,0,0,72,0.0,0.0
Baseline,dekco-camera,camera,0,0,72,0.0,0.0
Baseline,flame-sensor,sensor,2,2,72,0.027777777777777776,0.027777777777777776
Baseline,gas-sensor,sensor,0,0,72,0.0,0.0
Baseline,geeni-camera,camera,1,0,72,0.013888888888888888,0.0
Baseline,light-sensor,sensor,0,0,72,0.0,0.0
Baseline,motion-sensor,sensor,3,2,72,0.041666666666666664,0.027777777777777776
Baseline,mqtt-broker,edge-infrastructure,1,0,72,0.013888888888888888,0.0
Baseline,plug-all-cameras,smart-plug,2,0,72,0.027777777777777776,0.0
Baseline,plug-all-rpb,smart-plug,0,0,72,0.0,0.0
Baseline,plug-all-sensors,smart-plug,2,0,72,0.027777777777777776,0.0
Baseline,plug-cameras-dekco-blurams,smart-plug,0,0,72,0.0,0.0
Baseline,plug-cameras-geeni,smart-plug,1,0,72,0.013888888888888888,0.0
Baseline,plug-cameras-yi,smart-plug,1,0,72,0.013888888888888888,0.0
Baseline,proximity-collision-sensor,sensor,0,0,72,0.0,0.0
Baseline,rfid-sensor,sensor,0,0,72,0.0,0.0
Baseline,router,network-device,1,0,72,0.013888888888888888,0.0
Drift Simulation,ap,network-device,216,215,216,1.0,0.9953703703703703
Drift Simulation,edge1,edge-infrastructure,216,215,216,1.0,0.9953703703703703
Drift Simulation,myq-camera,camera,0,0,216,0.0,0.0
Drift Simulation,plug-edge1,smart-plug,5,0,216,0.023148148148148147,0.0
Drift Simulation,plug-flame,smart-plug,5,0,216,0.023148148148148147,0.0
Drift Simulation,plug-motion,smart-plug,6,2,216,0.027777777777777776,0.009259259259259259
Drift Simulation,plug-mqtt,smart-plug,5,0,216,0.023148148148148147,0.0
Drift Simulation,plug-proximity,smart-plug,5,0,216,0.023148148148148147,0.0
Drift Simulation,plug-rfid,smart-plug,6,2,216,0.027777777777777776,0.009259259259259259
Drift Simulation,plug-vibration,smart-plug,6,1,216,0.027777777777777776,0.004629629629629629
Drift Simulation,soil-sensor,sensor,0,0,216,0.0,0.0
Drift Simulation,sound-sensor,sensor,0,0,216,0.0,0.0
Drift Simulation,steam-sensor,sensor,0,0,216,0.0,0.0
Drift Simulation,switch,network-device,216,215,216,1.0,0.9953703703703703
Drift Simulation,ultrasonic-sensor,sensor,0,0,216,0.0,0.0
Drift Simulation,vibration-sensor,sensor,0,0,216,0.0,0.0
Drift Simulation,water-sensor,sensor,0,0,216,0.0,0.0
Drift Simulation,weather-sensor,sensor,8,2,216,0.037037037037037035,0.009259259259259259
Drift Simulation,wisenet-camera,camera,0,0,216,0.0,0.0
Drift Simulation,yi-camera,camera,3,2,216,0.013888888888888888,0.009259259259259259
Adaptive Fisher-Weighted Z,ap,network-device,2,0,216,0.009259259259259259,0.0
Adaptive Fisher-Weighted Z,edge1,edge-infrastructure,9,2,216,0.041666666666666664,0.009259259259259259
Adaptive Fisher-Weighted Z,myq-camera,camera,1,0,216,0.004629629629629629,0.0
Adaptive Fisher-Weighted Z,plug-edge1,smart-plug,3,0,216,0.013888888888888888,0.0
Adaptive Fisher-Weighted Z,plug-flame,smart-plug,3,0,216,0.013888888888888888,0.0
Adaptive Fisher-Weighted Z,plug-motion,smart-plug,4,2,216,0.018518518518518517,0.009259259259259259
Adaptive Fisher-Weighted Z,plug-mqtt,smart-plug,2,0,216,0.009259259259259259,0.0
Adaptive Fisher-Weighted Z,plug-proximity,smart-plug,4,0,216,0.018518518518518517,0.0
Adaptive Fisher-Weighted Z,plug-rfid,smart-plug,3,2,216,0.013888888888888888,0.009259259259259259
Adaptive Fisher-Weighted Z,plug-vibration,smart-plug,5,0,216,0.023148148148148147,0.0
Adaptive Fisher-Weighted Z,soil-sensor,sensor,0,0,216,0.0,0.0
Adaptive Fisher-Weighted Z,sound-sensor,sensor,0,0,216,0.0,0.0
Adaptive Fisher-Weighted Z,steam-sensor,sensor,0,0,216,0.0,0.0
Adaptive Fisher-Weighted Z,switch,network-device,0,0,216,0.0,0.0
Adaptive Fisher-Weighted Z,ultrasonic-sensor,sensor,0,0,216,0.0,0.0
Adaptive Fisher-Weighted Z,vibration-sensor,sensor,0,0,216,0.0,0.0
Adaptive Fisher-Weighted Z,water-sensor,sensor,0,0,216,0.0,0.0
Adaptive Fisher-Weighted Z,weather-sensor,sensor,0,0,216,0.0,0.0
Adaptive Fisher-Weighted Z,wisenet-camera,camera,1,0,216,0.004629629629629629,0.0
Adaptive Fisher-Weighted Z,yi-camera,camera,3,2,216,0.013888888888888888,0.009259259259259259
