model,device_type,raw_false_flags,confirmed_false_flags,total_windows,raw_fpr,fpr
Baseline,sensor,5,4,504,0.00992063492063492,0.007936507936507936
Baseline,camera,1,0,216,0.004629629629629629,0.0
Baseline,edge-infrastructure,1,0,72,0.013888888888888888,0.0
Baseline,smart-plug,6,0,432,0.013888888888888888,0.0
Baseline,network-device,1,0,72,0.013888888888888888,0.0
Drift Simulation,network-device,432,430,432,1.0,0.9953703703703703
Drift Simulation,edge-infrastructure,216,215,216,1.0,0.9953703703703703
Drift Simulation,camera,3,2,648,0.004629629629629629,0.0030864197530864196
Drift Simulation,smart-plug,38,5,1512,0.02513227513227513,0.0033068783068783067
Drift Simulation,sensor,8,2,1512,0.005291005291005291,0.0013227513227513227
Adaptive Fisher-Weighted Z,network-device,2,0,432,0.004629629629629629,0.0
Adaptive Fisher-Weighted Z,edge-infrastructure,9,2,216,0.041666666666666664,0.009259259259259259
Adaptive Fisher-Weighted Z,camera,5,2,648,0.007716049382716049,0.0030864197530864196
Adaptive Fisher-Weighted Z,smart-plug,24,4,1512,0.015873015873015872,0.0026455026455026454
Adaptive Fisher-Weighted Z,sensor,0,0,1512,0.0,0.0
