device_type,feature,fisher_weight,weight_source
sensor,network_packets_all_count,1.2776307775778954,device-type attack tuning
sensor,network_packets_src_count,1.0493547317601404,device-type attack tuning
sensor,network_packets_dst_count,1.269962692352501,device-type attack tuning
sensor,network_interval-packets,1.9993586779991446,device-type attack tuning
sensor,network_time-delta_avg,0.1482656760688642,device-type attack tuning
sensor,network_packet-size_avg,0.8715476890587316,device-type attack tuning
sensor,network_payload-length_avg,0.8651461811405126,device-type attack tuning
sensor,network_ip-length_avg,0.8284450980076319,device-type attack tuning
sensor,network_header-length_avg,0.15907075253353503,device-type attack tuning
sensor,network_ips_all_count,1.7787682481766431,device-type attack tuning
sensor,network_ips_src_count,1.5923032418155643,device-type attack tuning
sensor,network_ips_dst_count,0.9154577893145007,device-type attack tuning
sensor,network_ports_all_count,1.368892538159719,device-type attack tuning
sensor,network_ports_src_count,1.2523660080276573,device-type attack tuning
sensor,network_ports_dst_count,0.6584914281550065,device-type attack tuning
sensor,network_protocols_all_count,0.4714133752138697,device-type attack tuning
sensor,network_tcp-flags-ack_count,0.536693747030525,device-type attack tuning
sensor,network_tcp-flags-syn_count,0.49475278810509893,device-type attack tuning
sensor,network_tcp-flags-fin_count,0.38728678890227836,device-type attack tuning
sensor,network_tcp-flags-rst_count,0.4040346657381383,device-type attack tuning
sensor,network_tcp-flags-psh_count,0.39875362962088623,device-type attack tuning
sensor,network_ttl_avg,1.8162297078715104,device-type attack tuning
sensor,network_window-size_avg,2.707837708488385,device-type attack tuning
sensor,network_fragmented-packets,0.867616947403282,device-type attack tuning
sensor,network_fragmentation-score,0.8803191114779809,device-type attack tuning
camera,network_packets_all_count,1.5985716988385157,device-type attack tuning
camera,network_packets_src_count,1.2926551368042904,device-type attack tuning
camera,network_packets_dst_count,1.5303150543584603,device-type attack tuning
camera,network_interval-packets,2.1862543401603145,device-type attack tuning
camera,network_time-delta_avg,0.29430587023436683,device-type attack tuning
camera,network_packet-size_avg,0.7241839564773283,device-type attack tuning
camera,network_payload-length_avg,0.6747191771870454,device-type attack tuning
camera,network_ip-length_avg,0.5319150932998788,device-type attack tuning
camera,network_header-length_avg,1.3897123246375218,device-type attack tuning
camera,network_ips_all_count,1.3218636181357089,device-type attack tuning
camera,network_ips_src_count,1.4274919849442878,device-type attack tuning
camera,network_ips_dst_count,0.920262549460014,device-type attack tuning
camera,network_ports_all_count,1.7282032988724207,device-type attack tuning
camera,network_ports_src_count,1.6726714520401356,device-type attack tuning
camera,network_ports_dst_count,1.1941052036654256,device-type attack tuning
camera,network_protocols_all_count,0.37839317408362255,device-type attack tuning
camera,network_tcp-flags-ack_count,0.6998730318694291,device-type attack tuning
camera,network_tcp-flags-syn_count,0.5851171707496186,device-type attack tuning
camera,network_tcp-flags-fin_count,0.5274020851654874,device-type attack tuning
camera,network_tcp-flags-rst_count,0.6114067888676141,device-type attack tuning
camera,network_tcp-flags-psh_count,0.5076233917527843,device-type attack tuning
camera,network_ttl_avg,0.4661909707781014,device-type attack tuning
camera,network_window-size_avg,0.5277959996174341,device-type attack tuning
camera,network_fragmented-packets,1.1018166156310196,device-type attack tuning
camera,network_fragmentation-score,1.1071500123691758,device-type attack tuning
edge-infrastructure,network_packets_all_count,0.6281936661267332,device-type attack tuning
edge-infrastructure,network_packets_src_count,0.5172999074871704,device-type attack tuning
edge-infrastructure,network_packets_dst_count,0.5935417987293952,device-type attack tuning
edge-infrastructure,network_interval-packets,0.14500054156472386,device-type attack tuning
edge-infrastructure,network_time-delta_avg,0.12132237698398463,device-type attack tuning
edge-infrastructure,network_packet-size_avg,0.3003527778543175,device-type attack tuning
edge-infrastructure,network_payload-length_avg,0.3699877068844884,device-type attack tuning
edge-infrastructure,network_ip-length_avg,0.32765102304342364,device-type attack tuning
edge-infrastructure,network_header-length_avg,0.5136165648345388,device-type attack tuning
edge-infrastructure,network_ips_all_count,0.9325429359655905,device-type attack tuning
edge-infrastructure,network_ips_src_count,0.45449301632557493,device-type attack tuning
edge-infrastructure,network_ips_dst_count,0.9296817097120239,device-type attack tuning
edge-infrastructure,network_ports_all_count,0.6503149281038102,device-type attack tuning
edge-infrastructure,network_ports_src_count,0.6082390485559935,device-type attack tuning
edge-infrastructure,network_ports_dst_count,0.5239348620976457,device-type attack tuning
edge-infrastructure,network_protocols_all_count,0.33312851546455874,device-type attack tuning
edge-infrastructure,network_tcp-flags-ack_count,0.460097781322903,device-type attack tuning
edge-infrastructure,network_tcp-flags-syn_count,0.2683510139928615,device-type attack tuning
edge-infrastructure,network_tcp-flags-fin_count,0.1742532687882429,device-type attack tuning
edge-infrastructure,network_tcp-flags-rst_count,0.4147114286880617,device-type attack tuning
edge-infrastructure,network_tcp-flags-psh_count,0.23142610861974403,device-type attack tuning
edge-infrastructure,network_ttl_avg,7.9385181035174845,device-type attack tuning
edge-infrastructure,network_window-size_avg,6.864501215808792,device-type attack tuning
edge-infrastructure,network_fragmented-packets,0.34216624017788777,device-type attack tuning
edge-infrastructure,network_fragmentation-score,0.35667345935004896,device-type attack tuning
smart-plug,network_packets_all_count,1.304506940893464,device-type attack tuning
smart-plug,network_packets_src_count,2.026013825955054,device-type attack tuning
smart-plug,network_packets_dst_count,1.2522721050256047,device-type attack tuning
smart-plug,network_interval-packets,0.4822638463887108,device-type attack tuning
smart-plug,network_time-delta_avg,0.647723225373575,device-type attack tuning
smart-plug,network_packet-size_avg,0.1452483118874949,device-type attack tuning
smart-plug,network_payload-length_avg,0.575842939696752,device-type attack tuning
smart-plug,network_ip-length_avg,1.2716917501209515,device-type attack tuning
smart-plug,network_header-length_avg,0.3596287392096947,device-type attack tuning
smart-plug,network_ips_all_count,1.4729130576501994,device-type attack tuning
smart-plug,network_ips_src_count,1.5491771647608894,device-type attack tuning
smart-plug,network_ips_dst_count,0.7880801482469387,device-type attack tuning
smart-plug,network_ports_all_count,1.1330309908838259,device-type attack tuning
smart-plug,network_ports_src_count,1.1191712899996549,device-type attack tuning
smart-plug,network_ports_dst_count,1.2320437129606843,device-type attack tuning
smart-plug,network_protocols_all_count,0.5036192354160839,device-type attack tuning
smart-plug,network_tcp-flags-ack_count,1.542818604392368,device-type attack tuning
smart-plug,network_tcp-flags-syn_count,0.6936922748275289,device-type attack tuning
smart-plug,network_tcp-flags-fin_count,0.505507158726445,device-type attack tuning
smart-plug,network_tcp-flags-rst_count,0.6688136667833399,device-type attack tuning
smart-plug,network_tcp-flags-psh_count,0.7456895277303516,device-type attack tuning
smart-plug,network_ttl_avg,3.2379971890851906,device-type attack tuning
smart-plug,network_window-size_avg,0.28890483098728814,device-type attack tuning
smart-plug,network_fragmented-packets,0.7271503444073666,device-type attack tuning
smart-plug,network_fragmentation-score,0.726199118590538,device-type attack tuning
network-device,network_packets_all_count,0.7145162401056762,device-type attack tuning
network-device,network_packets_src_count,0.4159961905179082,device-type attack tuning
network-device,network_packets_dst_count,0.6815905015061476,device-type attack tuning
network-device,network_interval-packets,0.09441858858408142,device-type attack tuning
network-device,network_time-delta_avg,0.08501993814189367,device-type attack tuning
network-device,network_packet-size_avg,0.20944816168327118,device-type attack tuning
network-device,network_payload-length_avg,0.3824905906909155,device-type attack tuning
network-device,network_ip-length_avg,0.8401594611841596,device-type attack tuning
