device_type,iteration,particle,candidate,warmup_alpha,stable_alpha,drift_alpha,anchor_strength,confirmation_windows,stable_batch_size,threshold_ceiling,objective,feasible,stable_fpr,controlled_drift_fpr,worst_client_stable_fpr,worst_client_controlled_drift_fpr,detection_rate,worst_group_detection,mean_group_shortfall,maximum_group_shortfall
sensor,0,0,conservative,0.25,1e-05,0.05,0.25,32,64,1.3,1000006.4874608374,False,0.0,0.015873015873015872,0.0,0.1111111111111111,0.8786407766990292,0.0,0.003913571808308648,0.06142857142857142
sensor,1,1,pso,0.40664266969216145,0.00015293952761249947,0.15858729212557623,0.4335524159826501,13,125,1.456683821194212,1000006.3624608374,False,0.0,0.001984126984126984,0.0,0.013888888888888888,0.8786407766990292,0.0,0.003913571808308648,0.06142857142857142
sensor,1,2,pso,0.42019740191217575,2.2170467537186737e-05,0.04261990937617626,0.2539389133279197,60,88,1.493656967962498,1000006.6144449643,False,0.0,0.06547619047619048,0.0,0.1388888888888889,0.8786407766990292,0.0,0.003913571808308648,0.06142857142857142
sensor,1,3,pso,0.16613669539581366,4.104974786241303e-05,0.05960411747040778,0.08509949085729643,54,87,1.4548526440512244,1000006.5053179802,False,0.0,0.017857142857142856,0.0,0.125,0.8786407766990292,0.0,0.003913571808308648,0.06142857142857142
sensor,1,4,pso,0.13059450288428093,0.00416758869324571,0.17722694370035508,0.478110923390569,19,68,1.0262822594723373,1000006.7493655992,False,0.0,0.0496031746031746,0.0,0.3055555555555556,0.8786407766990292,0.0,0.003913571808308648,0.06142857142857142
sensor,1,5,pso,0.07593264485686795,0.0006974749851257468,0.10993419856319614,0.5821303528388155,26,57,1.2817334867654848,1000007.3168259168,False,0.01984126984126984,0.08531746031746032,0.125,0.4722222222222222,0.8786407766990292,0.0,0.003913571808308648,0.06142857142857142
sensor,1,6,pso,0.08352290933332598,2.2420962165238707e-05,0.046238841953551935,0.17480014197798627,46,65,1.4996069176347024,1000007.0529370278,False,0.0,0.08333333333333333,0.0,0.5416666666666666,0.8786407766990292,0.0,0.003913571808308648,0.06142857142857142
sensor,1,7,pso,0.3330777864784426,6.96735911046296e-05,0.14569655197941794,0.492620396623241,30,48,1.4094973023849853,1000006.5053179802,False,0.0,0.017857142857142856,0.0,0.125,0.8786407766990292,0.0,0.003913571808308648,0.06142857142857142
sensor,1,8,pso,0.07300148232549071,3.463747633732309e-05,0.010239812666037223,0.48280840762617605,45,95,1.4684374186131808,1000007.7612703613,False,0.015873015873015872,0.1488095238095238,0.09722222222222222,0.8611111111111112,0.8786407766990292,0.0,0.003913571808308648,0.06142857142857142
sensor,2,1,pso,0.40035782048188573,0.00016236559339157842,0.13482563591541877,0.40387123164492006,15,125,1.4621636541386318,1000006.3664290913,False,0.0,0.003968253968253968,0.0,0.013888888888888888,0.8786407766990292,0.0,0.003913571808308648,0.06142857142857142
