model,device_name,device_type,source_file,attack_family,attack_type,raw_detected_windows,detected_windows,total_windows,raw_detection_rate,detection_rate
Drift Simulation,device_1,doorbell,1.gafgyt.combo.csv,Gafgyt,combo,47775,47774,47775,1.0,0.9999790685504971
Drift Simulation,device_1,doorbell,1.gafgyt.junk.csv,Gafgyt,junk,23255,23254,23255,1.0,0.9999569984949473
Drift Simulation,device_1,doorbell,1.gafgyt.scan.csv,Gafgyt,scan,23880,23879,23880,1.0,0.9999581239530988
Drift Simulation,device_1,doorbell,1.gafgyt.tcp.csv,Gafgyt,tcp,73713,73712,73713,1.0,0.9999864338719087
Drift Simulation,device_1,doorbell,1.gafgyt.udp.csv,Gafgyt,udp,84698,84699,84700,0.9999763872491145,0.9999881936245573
Drift Simulation,device_1,doorbell,1.mirai.ack.csv,Mirai,ack,81756,81755,81756,1.0,0.9999877684818239
Drift Simulation,device_1,doorbell,1.mirai.scan.csv,Mirai,scan,86148,86147,86148,1.0,0.9999883920694619
Drift Simulation,device_1,doorbell,1.mirai.syn.csv,Mirai,syn,98059,98058,98059,1.0,0.9999898020579447
Drift Simulation,device_1,doorbell,1.mirai.udp.csv,Mirai,udp,190132,190131,190132,1.0,0.9999947404960764
Drift Simulation,device_1,doorbell,1.mirai.udpplain.csv,Mirai,udpplain,65586,65585,65586,1.0,0.9999847528435947
Drift Simulation,device_2,thermostat,2.gafgyt.combo.csv,Gafgyt,combo,42406,42403,42410,0.9999056826220231,0.9998349445885404
Drift Simulation,device_2,thermostat,2.gafgyt.junk.csv,Gafgyt,junk,24246,24244,24250,0.9998350515463917,0.9997525773195877
Drift Simulation,device_2,thermostat,2.gafgyt.scan.csv,Gafgyt,scan,21994,21992,21996,0.9999090743771595,0.999818148754319
Drift Simulation,device_2,thermostat,2.gafgyt.tcp.csv,Gafgyt,tcp,76013,76012,76017,0.999947380191273,0.9999342252390913
Drift Simulation,device_2,thermostat,2.gafgyt.udp.csv,Gafgyt,udp,83824,83828,83833,0.9998926437083249,0.9999403576157361
Drift Simulation,device_2,thermostat,2.mirai.ack.csv,Mirai,ack,90625,90623,90628,0.9999668976475261,0.9999448294125436
Drift Simulation,device_2,thermostat,2.mirai.scan.csv,Mirai,scan,34550,34550,34554,0.9998842391618915,0.9998842391618915
Drift Simulation,device_2,thermostat,2.mirai.syn.csv,Mirai,syn,93443,93441,93446,0.9999678958970957,0.999946493161826
Drift Simulation,device_2,thermostat,2.mirai.udp.csv,Mirai,udp,121184,121183,121185,0.9999917481536493,0.9999834963072988
Drift Simulation,device_2,thermostat,2.mirai.udpplain.csv,Mirai,udpplain,69890,69889,69895,0.9999284641247586,0.9999141569497103
Drift Simulation,device_3,doorbell,3.gafgyt.combo.csv,Gafgyt,combo,42412,42411,42412,1.0,0.9999764217674243
Drift Simulation,device_3,doorbell,3.gafgyt.junk.csv,Gafgyt,junk,23838,23837,23838,1.0,0.9999580501719942
Drift Simulation,device_3,doorbell,3.gafgyt.scan.csv,Gafgyt,scan,22496,22495,22496,1.0,0.999955547652916
Drift Simulation,device_3,doorbell,3.gafgyt.tcp.csv,Gafgyt,tcp,81229,81228,81229,1.0,0.9999876891258048
Drift Simulation,device_3,doorbell,3.gafgyt.udp.csv,Gafgyt,udp,83145,83146,83147,0.9999759462157384,0.9999879731078692
Drift Simulation,device_4,baby_monitor,4.gafgyt.combo.csv,Gafgyt,combo,46512,46511,46522,0.9997850479343107,0.9997635527277418
Drift Simulation,device_4,baby_monitor,4.gafgyt.junk.csv,Gafgyt,junk,22667,22666,22680,0.9994268077601411,0.9993827160493827
Drift Simulation,device_4,baby_monitor,4.gafgyt.scan.csv,Gafgyt,scan,22283,22283,22288,0.9997756640344581,0.9997756640344581
Drift Simulation,device_4,baby_monitor,4.gafgyt.tcp.csv,Gafgyt,tcp,74004,74056,74065,0.9991763991088909,0.9998784851144266
Drift Simulation,device_4,baby_monitor,4.gafgyt.udp.csv,Gafgyt,udp,84544,84615,84626,0.9990310306525182,0.9998700163070451
Drift Simulation,device_4,baby_monitor,4.mirai.ack.csv,Mirai,ack,72890,72889,72899,0.9998765415163445,0.9998628239070495
Drift Simulation,device_4,baby_monitor,4.mirai.scan.csv,Mirai,scan,82897,82896,82897,1.0,0.99998793683728
Drift Simulation,device_4,baby_monitor,4.mirai.syn.csv,Mirai,syn,94491,94489,94503,0.99987301990413,0.9998518565548183
Drift Simulation,device_4,baby_monitor,4.mirai.udp.csv,Mirai,udp,173628,173627,173628,1.0,0.9999942405602783
Drift Simulation,device_4,baby_monitor,4.mirai.udpplain.csv,Mirai,udpplain,64639,64637,64647,0.9998762510247962,0.9998453137809953
Drift Simulation,device_5,security_camera,5.gafgyt.combo.csv,Gafgyt,combo,49099,49097,49104,0.9998981753014011,0.9998574454219615
Drift Simulation,device_5,security_camera,5.gafgyt.junk.csv,Gafgyt,junk,24592,24590,24719,0.9948622517092115,0.9947813422873094
Drift Simulation,device_5,security_camera,5.gafgyt.scan.csv,Gafgyt,scan,23437,23436,23438,0.9999573342435362,0.9999146684870722
Drift Simulation,device_5,security_camera,5.gafgyt.tcp.csv,Gafgyt,tcp,83537,83595,83608,0.9991507989666061,0.9998445124868434
Drift Simulation,device_5,security_camera,5.gafgyt.udp.csv,Gafgyt,udp,83132,83199,83209,0.9990746193320434,0.9998798206924732
Drift Simulation,device_5,security_camera,5.mirai.ack.csv,Mirai,ack,48444,48443,48444,1.0,0.9999793576087854
Drift Simulation,device_5,security_camera,5.mirai.scan.csv,Mirai,scan,77425,77424,77425,1.0,0.999987084275105
Drift Simulation,device_5,security_camera,5.mirai.syn.csv,Mirai,syn,52595,52596,52597,0.9999619750175865,0.9999809875087933
Drift Simulation,device_5,security_camera,5.mirai.udp.csv,Mirai,udp,124991,124990,124999,0.9999359994879959,0.9999279994239954
Drift Simulation,device_5,security_camera,5.mirai.udpplain.csv,Mirai,udpplain,45344,45344,45345,0.9999779468519131,0.9999779468519131
Drift Simulation,device_6,security_camera,6.gafgyt.combo.csv,Gafgyt,combo,46017,46016,46024,0.9998479054406396,0.9998261776464453
Drift Simulation,device_6,security_camera,6.gafgyt.junk.csv,Gafgyt,junk,23252,23250,23255,0.9998709954848419,0.9997849924747366
Drift Simulation,device_6,security_camera,6.gafgyt.scan.csv,Gafgyt,scan,22715,22713,22718,0.9998679461220178,0.999779910203363
Drift Simulation,device_6,security_camera,6.gafgyt.tcp.csv,Gafgyt,tcp,71440,71496,71510,0.9990211159278423,0.9998042231855685
Drift Simulation,device_6,security_camera,6.gafgyt.udp.csv,Gafgyt,udp,83645,83714,83727,0.9990206265601299,0.999844733479045
Drift Simulation,device_6,security_camera,6.mirai.ack.csv,Mirai,ack,46398,46397,46398,1.0,0.9999784473468684
Drift Simulation,device_6,security_camera,6.mirai.scan.csv,Mirai,scan,77677,77676,77677,1.0,0.9999871261763457
Drift Simulation,device_6,security_camera,6.mirai.syn.csv,Mirai,syn,49480,49480,49481,0.9999797902225096,0.9999797902225096
Drift Simulation,device_6,security_camera,6.mirai.udp.csv,Mirai,udp,126880,126879,126887,0.9999448328039909,0.9999369517759896
Drift Simulation,device_6,security_camera,6.mirai.udpplain.csv,Mirai,udpplain,43028,43027,43028,1.0,0.9999767593195129
Drift Simulation,device_7,webcam,7.gafgyt.combo.csv,Gafgyt,combo,46936,46935,46936,1.0,0.9999786943923641
Drift Simulation,device_7,webcam,7.gafgyt.junk.csv,Gafgyt,junk,22644,22643,22644,1.0,0.9999558381911323
Drift Simulation,device_7,webcam,7.gafgyt.scan.csv,Gafgyt,scan,22159,22158,22159,1.0,0.9999548716097297
Drift Simulation,device_7,webcam,7.gafgyt.tcp.csv,Gafgyt,tcp,78227,78226,78227,1.0,0.9999872166898897
Drift Simulation,device_7,webcam,7.gafgyt.udp.csv,Gafgyt,udp,88494,88493,88494,1.0,0.9999886997988564
Drift Simulation,device_8,security_camera,8.gafgyt.combo.csv,Gafgyt,combo,43426,43425,43427,0.9999769728509913,0.9999539457019826
Drift Simulation,device_8,security_camera,8.gafgyt.junk.csv,Gafgyt,junk,22856,22855,22864,0.9996501049685095,0.9996063680895731
Drift Simulation,device_8,security_camera,8.gafgyt.scan.csv,Gafgyt,scan,22257,22255,22260,0.9998652291105121,0.9997753818508536
Drift Simulation,device_8,security_camera,8.gafgyt.tcp.csv,Gafgyt,tcp,70986,71041,71053,0.9990570419264493,0.9998311119868267
Drift Simulation,device_8,security_camera,8.gafgyt.udp.csv,Gafgyt,udp,82894,82970,82976,0.9990117624373313,0.9999276899344389
