device_type,feature,fisher_weight,weight_source
doorbell,MI_dir_L0.1_weight,3.126541513751395,device-type attack tuning
doorbell,MI_dir_L0.1_mean,0.7698863181372787,device-type attack tuning
doorbell,MI_dir_L0.1_variance,1.0958060958098435,device-type attack tuning
doorbell,H_L0.1_weight,3.1265413041338137,device-type attack tuning
doorbell,H_L0.1_mean,0.7699271352819353,device-type attack tuning
doorbell,H_L0.1_variance,1.0958049665978946,device-type attack tuning
doorbell,HH_L0.1_weight,2.105156978515762,device-type attack tuning
doorbell,HH_L0.1_mean,0.5886830051038461,device-type attack tuning
doorbell,HH_L0.1_std,1.3543907210508699,device-type attack tuning
doorbell,HH_L0.1_magnitude,0.1500633171988746,device-type attack tuning
doorbell,HH_L0.1_radius,0.41969959663687373,device-type attack tuning
doorbell,HH_L0.1_covariance,0.3592555489599169,device-type attack tuning
doorbell,HH_L0.1_pcc,0.7965516683467457,device-type attack tuning
doorbell,HH_jit_L0.1_weight,2.105156978515757,device-type attack tuning
doorbell,HH_jit_L0.1_mean,2.687388799529013,device-type attack tuning
doorbell,HH_jit_L0.1_variance,0.7573755191620952,device-type attack tuning
doorbell,HpHp_L0.1_weight,0.5144342870825719,device-type attack tuning
doorbell,HpHp_L0.1_mean,0.5213035273560115,device-type attack tuning
doorbell,HpHp_L0.1_std,0.4274709980791127,device-type attack tuning
doorbell,HpHp_L0.1_magnitude,0.11293635125127195,device-type attack tuning
doorbell,HpHp_L0.1_radius,0.0017069320220394924,device-type attack tuning
doorbell,HpHp_L0.1_covariance,0.04357565980755198,device-type attack tuning
doorbell,HpHp_L0.1_pcc,0.07034277766952451,device-type attack tuning
thermostat,MI_dir_L0.1_weight,2.251841276726702,device-type attack tuning
thermostat,MI_dir_L0.1_mean,0.5694242835177711,device-type attack tuning
thermostat,MI_dir_L0.1_variance,0.30297418949266935,device-type attack tuning
thermostat,H_L0.1_weight,2.2518412767266773,device-type attack tuning
thermostat,H_L0.1_mean,0.5694242835181742,device-type attack tuning
thermostat,H_L0.1_variance,0.30297418949202737,device-type attack tuning
thermostat,HH_L0.1_weight,1.491964416905287,device-type attack tuning
thermostat,HH_L0.1_mean,0.36568681665065883,device-type attack tuning
thermostat,HH_L0.1_std,1.862741251785239,device-type attack tuning
thermostat,HH_L0.1_magnitude,0.9048042619186125,device-type attack tuning
thermostat,HH_L0.1_radius,1.0098603051938617,device-type attack tuning
thermostat,HH_L0.1_covariance,0.7721581801179753,device-type attack tuning
